ALTITUDE:97.0825592232868| MASS:77.8125839233398| VERTICALSPEED :0.00331022933809777| GROUNDSPEED :1.85433888834661E-06|PRESS :6.18766202665168E-11| APOAPSIS :86.1715631996049
ALTITUDE:97.0825592236361| MASS:77.8125839233398| VERTICALSPEED :0.00331260202123929| GROUNDSPEED :2.23085912423741E-06|PRESS :6.19125558593592E-11| APOAPSIS :86.171563261305
ALTITUDE:97.08255922643| MASS:77.8125839233398| VERTICALSPEED :0.00331304874882221| GROUNDSPEED :5.30386895419681E-06|PRESS :6.19309502712638E-11| APOAPSIS :86.1715630746912
ALTITUDE:97.0825597683433| MASS:77.8125839233398| VERTICALSPEED :0.00331515411704686| GROUNDSPEED :3.90848644340651E-06|PRESS :6.19779842485983E-11| APOAPSIS :86.171563118347
ALTITUDE:97.0825592270121| MASS:77.8125839233398| VERTICALSPEED :0.00331569409733845| GROUNDSPEED :5.00101135975292E-06|PRESS :6.20330644264627E-11| APOAPSIS :86.1715631495463
ALTITUDE:97.0825597683433| MASS:77.8125839233398| VERTICALSPEED :0.00331558296956302| GROUNDSPEED :2.20903011444761E-06|PRESS :6.20830236972291E-11| APOAPSIS :86.1715633621207
ALTITUDE:97.0825597669464| MASS:77.8125839233398| VERTICALSPEED :0.00331212679508042| GROUNDSPEED :7.02639075963248E-07|PRESS :6.20830850701718E-11| APOAPSIS :86.1715633539716
ALTITUDE:97.0825607988518| MASS:77.8125839233398| VERTICALSPEED :0.00331191434628408| GROUNDSPEED :1.5405488659778E-06|PRESS :6.20456360966984E-11| APOAPSIS :86.1715632637497
ALTITUDE:97.0825592253823| MASS:77.8125839233398| VERTICALSPEED :0.00331111616996793| GROUNDSPEED :3.97282975246293E-06|PRESS :6.19897842630503E-11| APOAPSIS :86.1715632752748
ALTITUDE:97.0825592246838| MASS:77.8125839233398| VERTICALSPEED :0.00331185619570817| GROUNDSPEED :2.71330326068597E-06|PRESS :6.19611185124151E-11| APOAPSIS :86.1715633228887
ALTITUDE:97.0825597647345| MASS:77.8125839233398| VERTICALSPEED :0.00330806536165085| GROUNDSPEED :4.09614135232937E-06|PRESS :6.1937685678227E-11| APOAPSIS :86.1715633580461
ALTITUDE:97.0825597634539| MASS:77.8125839233398| VERTICALSPEED :0.00330705979297363| GROUNDSPEED :1.23841884648377E-06|PRESS :6.19006897999396E-11| APOAPSIS :86.1715630808612
ALTITUDE:97.0825597632211| MASS:77.8125839233398| VERTICALSPEED :0.00331178600822568| GROUNDSPEED :9.40709663739685E-07|PRESS :6.18643665695872E-11| APOAPSIS :86.1715629919199
ALTITUDE:97.0825581939425| MASS:77.8125839233398| VERTICALSPEED :0.0033153638532184| GROUNDSPEED :1.69711768990752E-06|PRESS :6.18879603249871E-11| APOAPSIS :86.1715630812105
ALTITUDE:97.0825581904501| MASS:77.8125839233398| VERTICALSPEED :0.00331251014090128| GROUNDSPEED :7.75069976466008E-06|PRESS :6.19466590156898E-11| APOAPSIS :86.1715630085673
ALTITUDE:97.0825603019912| MASS:77.8125839233398| VERTICALSPEED :0.00331605725281747| GROUNDSPEED :8.1939713799297E-06|PRESS :6.2017613431302E-11| APOAPSIS :86.1715632658452
ALTITUDE:97.082560846| MASS:77.8125839233398| VERTICALSPEED :0.00331195226631564| GROUNDSPEED :6.3764960099312E-06|PRESS :6.20448718737414E-11| APOAPSIS :86.1715633699205
ALTITUDE:97.08255981619| MASS:77.8125839233398| VERTICALSPEED :0.00331339217959226| GROUNDSPEED :7.040510808068E-06|PRESS :6.20305929569389E-11| APOAPSIS :86.1715634332504
ALTITUDE:97.0825598170049| MASS:77.8125839233398| VERTICALSPEED :0.00330874135769932| GROUNDSPEED :4.09978288253276E-06|PRESS :6.19994167824252E-11| APOAPSIS :86.1715634501306
ALTITUDE:97.0825598181691| MASS:77.8125839233398| VERTICALSPEED :0.00330636365744397| GROUNDSPEED :5.13639716667751E-06|PRESS :6.19406240656924E-11| APOAPSIS :86.1715635488508
ALTITUDE:97.082559276605| MASS:77.8125839233398| VERTICALSPEED :0.00330310528232758| GROUNDSPEED :1.37302968180766E-06|PRESS :6.18413285856702E-11| APOAPSIS :86.1715634219581
ALTITUDE:97.0825598184019| MASS:77.8125839233398| VERTICALSPEED :0.00330766606948885| GROUNDSPEED :1.50780403299801E-06|PRESS :6.17686577690793E-11| APOAPSIS :86.1715630723629
ALTITUDE:97.082559278002| MASS:77.8125839233398| VERTICALSPEED :0.00330794170609749| GROUNDSPEED :3.65861766810328E-06|PRESS :6.17343297950382E-11| APOAPSIS :86.17156302894
ALTITUDE:97.0825592754409| MASS:77.8125839233398| VERTICALSPEED :0.0033140209170881| GROUNDSPEED :7.3227546232234E-06|PRESS :6.17909633797931E-11| APOAPSIS :86.1715629511746
ALTITUDE:97.082556623267| MASS:77.8125839233398| VERTICALSPEED :0.00331313415921386| GROUNDSPEED :7.82211014377312E-06|PRESS :6.19007114215797E-11| APOAPSIS :86.1715627544327
ALTITUDE:97.0825592750916| MASS:77.8125839233398| VERTICALSPEED :0.00332314273701684| GROUNDSPEED :5.48148702064236E-06|PRESS :6.201448770758E-11| APOAPSIS :86.1715626864461
ALTITUDE:97.0825592225883| MASS:77.8125839233398| VERTICALSPEED :0.00332324157959363| GROUNDSPEED :7.22988331607583E-06|PRESS :6.21593330933273E-11| APOAPSIS :86.1715632047271
ALTITUDE:97.0825603047851| MASS:77.8125839233398| VERTICALSPEED :0.00332529194376718| GROUNDSPEED :5.47051422127553E-06|PRESS :6.22794343118205E-11| APOAPSIS :86.1715636971639
ALTITUDE:97.0825603075791| MASS:77.8125839233398| VERTICALSPEED :0.00331639803734163| GROUNDSPEED :3.01653398488532E-06|PRESS :6.23548877540497E-11| APOAPSIS :86.1715636907611
ALTITUDE:97.0825603075791| MASS:77.8125839233398| VERTICALSPEED :0.00331439361330865| GROUNDSPEED :2.14328268088032E-06|PRESS :6.2285112452051E-11| APOAPSIS :86.1715636776062
ALTITUDE:97.0825607959414| MASS:77.8125839233398| VERTICALSPEED :0.00330439545206218| GROUNDSPEED :3.81880923885076E-06|PRESS :6.21493784322528E-11| APOAPSIS :86.1715635057772
ALTITUDE:97.08255971584| MASS:77.8125839233398| VERTICALSPEED :0.00330983327013712| GROUNDSPEED :8.29851127306857E-06|PRESS :6.1969890240112E-11| APOAPSIS :86.1715630786493
ALTITUDE:97.0825592246838| MASS:77.8125839233398| VERTICALSPEED :0.00330857545068852| GROUNDSPEED :8.1469333166932E-06|PRESS :6.18767175928566E-11| APOAPSIS :86.1715631545521
ALTITUDE:97.0825592258479| MASS:77.8125839233398| VERTICALSPEED :0.00331270717374821| GROUNDSPEED :3.87583114824917E-06|PRESS :6.18349183922055E-11| APOAPSIS :86.1715632299893
